evid,orid,magid,magnitude,magtype,uncertainty,nsta,nobs,lat,lon,depth,datetime,erhor,erlat,erlon,sdep,gap,quality,ndef,nbs,nbfm,fdepth,fepi
61038492,2168443,2478093,1.84,l,0.204,15,31,47.3601667,-122.4711667,22.65,1436289045.5699997,0.56,,,0.8,64,1,31,13,12,n,n
61039282,2168683,2478118,1.2,l,0.035,6,8,48.432,-122.7643333,-0.14,1436330505.8599987,1.06,,,4.97,103,0.5,13,5,4,n,n
61589721,3121088,3045388,1.01,l,0.2396022209421803,6,10,45.92166666666667,-122.802,0.67,1584575429.76,1.6,,,28.46,242,0.5,20,7,4,y,n
61037147,2176468,2477963,4.02,l,0.152,16,46,44.0895,-122.831,7.95,1436024564.0499992,0.41,,,2.3,42,0.8,32,8,21,n,n
61037172,2689088,2589473,1.7,l,0.193,9,16,47.245,-123.6491667,-0.21,1436033385.5699997,0.59,,,1.57,101,1,20,10,4,n,n
61251322,2705053,2606103,1.12,l,0.159,9,16,47.7976667,-122.7426667,19.78,1491276075.9799995,0.42,,,0.66,81,1,25,11,8,n,n
61251512,2705048,2606093,2.08,l,0.176,22,43,47.8563333,-122.5103333,24.25,1491299449.9899998,0.42,,,0.75,37,1,55,19,22,n,n
61041482,2170978,2478293,0.62,l,0.068,5,6,46.4783333,-122.385,17.52,1436816796.6999998,1.24,,,1.34,315,0.8,11,6,2,n,n
61041487,2170958,2478298,0.7,l,0.219,10,15,46.3135,-122.17,2.83,1436817227.9699993,0.49,,,1.77,167,1,17,4,12,n,n
61311187,2771843,2676288,0.55,l,0.151,5,8,46.4615,-122.361,21.35,1506455935.209999,1.12,,,1.21,320,0.8,14,6,4,n,n
61076526,2196463,2480883,1.56,l,0.121,6,8,48.2341667,-124.6851667,10.5,1441750962.8099995,1.31,,,2.21,170,0.8,10,2,4,n,n
61066052,2584143,2479893,1.79,l,0.141,4,7,48.2875,-124.9638333,-0.34,1442348897.5699997,2.49,,,2.01,192,0.8,17,8,6,n,n
61284317,2745258,2648413,0.78,l,0.118,5,8,47.7108333,-122.5805,20.04,1500796482.4099998,0.65,,,1.56,141,1,12,5,3,n,n
61277467,2736373,2638833,2.16,l,0.187,15,28,48.1376667,-123.1768333,41.7,1498530972.7599983,0.66,,,0.64,104,1,20,6,13,n,n
61268006,2705748,2606998,1.34,l,0.062,4,5,46.2441667,-122.476,0.91,1491421176.6599998,0.52,,,0.94,174,1,10,3,7,n,n
61036747,2165728,2477913,2.19,l,0.076,17,31,48.4801667,-122.7561667,25.78,1435893752.4299998,0.35,,,1.02,54,1,31,9,16,n,n
61037157,2689083,2589463,0.85,l,0.144,9,13,46.4315,-122.3885,9.96,1436030335.3999996,0.7,,,1.67,143,1,12,3,8,n,n
61269536,2706743,2608188,1.28,l,0.284,9,13,47.059,-122.156,6.63,1491858076.9799995,0.53,,,1.43,69,1,14,6,3,n,n
61039222,2168693,2478108,1.14,l,0.044,3,4,48.5503333,-122.7018333,4.68,1436320132.5,0.66,,,15.46,127,0.5,9,3,3,y,n
61044797,2174343,2478603,0.74,l,0.197,3,5,47.636,-122.508,15.03,1437613674.1499996,1.76,,,2.88,321,0.5,8,3,4,n,n
61044857,2174398,2478613,1.8,l,0.097,16,29,48.4856667,-122.759,26.77,1437632968.3,0.38,,,1.09,72,1,29,10,12,n,n
61291361,2728448,2630698,1.4,l,0.233,10,19,47.5025,-122.7416667,21.38,1496909535.6299973,0.48,,,0.57,71,1,24,8,10,n,n
61285447,2747048,2650198,1.17,l,0.158,11,17,45.8458333,-122.4631667,14.37,1501028733.42,1.3,,,1.68,159,0.8,18,4,9,n,n
61071861,2189043,1930288,1.59,l,0.178,6,11,48.475,-123.4286667,18.53,1440645031.9499998,0.55,,,0.67,131,1,13,5,6,n,n
61073391,2190663,2480558,0.71,l,0.094,6,8,46.2955,-122.6323333,0.96,1441020740.25,0.86,,,12.91,230,0.5,11,7,3,y,n
61056382,2186183,2479323,0.95,l,0.24,3,5,46.801,-122.6325,20.87,1440098990.119999,1.09,,,3.47,119,0.5,8,3,3,n,n
61278712,2736863,2639448,1.23,l,0.165,9,14,46.261,-123.1258333,26.35,1498896255.9500008,0.39,,,0.91,91,1,20,8,12,n,n
